iter	Logloss
0	0.6872360723
1	0.6823006745
2	0.6776337687
3	0.6738263
4	0.6702085798
5	0.6670903864
6	0.6642505586
7	0.6618103569
8	0.6596212158
9	0.6577667026
10	0.6561513264
11	0.6545293139
12	0.6531699403
13	0.6519405179
14	0.6506142862
15	0.6496123319
16	0.648559079
17	0.6478582925
18	0.6471140958
19	0.6464455185
20	0.6458261778
21	0.6452551243
22	0.6446942102
23	0.6441238747
24	0.643568667
25	0.6431215062
26	0.642614809
27	0.6422603935
28	0.6418484328
29	0.6413565029
30	0.640882034
31	0.6405522804
32	0.6401730323
33	0.6399289612
34	0.6396062692
35	0.6393614202
36	0.6390605286
37	0.6386461345
38	0.638438903
39	0.6382580805
40	0.6378979809
41	0.637628277
42	0.6372160969
43	0.6368897624
44	0.6366529084
45	0.6364027927
46	0.6362048454
47	0.6360480381
48	0.6357660971
49	0.6354923561
50	0.6352718094
51	0.6349136236
52	0.6347096937
53	0.634387153
54	0.6340737903
55	0.6338001847
56	0.6336398277
57	0.633448253
58	0.6332054057
59	0.6328247807
60	0.6325309116
61	0.6322510722
62	0.6320732609
63	0.6319371231
64	0.6317968106
65	0.6316658884
66	0.6314731936
67	0.6311821347
68	0.6309682602
69	0.6307483626
70	0.630676109
71	0.6305307347
72	0.6302945048
73	0.6300020682
74	0.6298031345
75	0.6297096484
76	0.629526173
77	0.6293054791
78	0.6290389861
79	0.6288007623
80	0.6286328925
81	0.6284631224
82	0.6283493093
83	0.6282465821
84	0.6281086495
85	0.6280005951
86	0.6277762955
87	0.6276706898
88	0.6274794586
89	0.6273291904
90	0.6271614455
91	0.627077863
92	0.6268207157
93	0.6266536637
94	0.6264471497
95	0.6262098304
96	0.6260538473
97	0.6259670412
98	0.6258841972
99	0.6257544183
100	0.6256203621
101	0.6254692363
102	0.6254253687
103	0.6252964549
104	0.6252231273
105	0.6250192322
106	0.6248130512
107	0.6247271974
108	0.6246541779
109	0.624461862
110	0.624355923
111	0.6242349206
112	0.6241000712
113	0.6239651391
114	0.6237146671
115	0.6236179548
116	0.6235326278
117	0.6234178294
118	0.6232028325
119	0.6230615044
120	0.6229574668
121	0.6227573421
122	0.6226408895
123	0.6224765948
124	0.6224491629
125	0.6223998778
126	0.6223422622
127	0.6221942327
128	0.622103632
129	0.6219957396
130	0.6219436258
131	0.6217822964
132	0.6217323109
133	0.6216222023
134	0.621568436
135	0.6213946602
136	0.6212586613
137	0.6211522705
138	0.6210489065
139	0.6210155877
140	0.6209636478
141	0.620877798
