iter	Passed	Remaining
0	5	5324
1	11	5510
2	17	5706
3	22	5715
4	28	5752
5	34	5722
6	40	5759
7	46	5746
8	52	5756
9	57	5734
10	63	5724
11	69	5709
12	75	5707
13	81	5714
14	87	5715
15	93	5728
16	98	5722
17	105	5729
18	110	5712
19	117	5744
20	123	5765
21	129	5757
22	135	5744
23	141	5742
24	147	5754
25	153	5735
26	158	5729
27	164	5704
28	169	5680
29	175	5679
30	181	5670
31	187	5661
32	192	5648
33	198	5635
34	204	5629
35	209	5617
36	215	5613
37	220	5587
38	225	5568
39	231	5551
40	237	5545
41	242	5534
42	248	5526
43	254	5522
44	259	5512
45	265	5501
46	270	5492
47	276	5484
48	282	5481
49	288	5479
50	293	5467
51	299	5463
52	305	5462
53	311	5459
54	317	5454
55	323	5448
56	328	5441
57	334	5430
58	340	5425
59	345	5418
60	351	5413
61	357	5406
62	362	5398
63	368	5386
64	373	5375
65	379	5369
66	385	5364
67	390	5358
68	396	5349
69	402	5346
70	408	5339
71	413	5330
72	419	5326
73	424	5317
74	430	5310
75	436	5302
76	441	5292
77	447	5285
78	452	5280
79	458	5274
80	464	5267
81	469	5259
82	475	5251
83	480	5239
84	486	5234
85	491	5226
86	497	5219
87	503	5213
88	508	5204
89	514	5199
90	519	5193
91	525	5183
92	531	5178
93	536	5174
94	542	5167
95	549	5171
96	555	5171
97	561	5165
98	566	5155
99	572	5148
100	577	5141
101	583	5135
102	588	5124
103	594	5119
104	600	5114
105	605	5110
106	611	5105
107	617	5100
108	622	5092
109	628	5086
110	634	5080
111	640	5074
112	645	5069
113	651	5063
114	657	5059
115	662	5052
116	668	5046
117	674	5042
118	680	5037
119	686	5031
120	691	5026
121	697	5022
122	703	5018
123	709	5012
124	714	5003
125	719	4992
126	725	4986
127	731	4981
128	736	4974
129	742	4968
130	747	4960
131	753	4954
132	759	4947
133	764	4942
134	770	4937
135	776	4931
136	782	4926
137	787	4917
138	793	4912
139	798	4905
140	803	4897
141	809	4891
142	815	4884
143	820	4877
144	826	4872
145	832	4867
146	838	4863
147	844	4860
148	850	4859
149	857	4859
150	864	4859
151	871	4860
152	877	4858
153	884	4858
154	891	4858
155	897	4857
156	904	4857
157	911	4856
158	917	4854
159	924	4852
160	930	4849
161	937	4849
162	944	4849
163	951	4848
164	958	4849
165	964	4848
166	971	4845
167	978	4844
168	984	4842
169	991	4842
170	998	4840
171	1005	4839
172	1011	4837
173	1016	4824
174	1022	4821
175	1029	4820
176	1036	4818
177	1043	4818
178	1050	4817
179	1057	4816
180	1064	4816
181	1071	4814
182	1078	4814
183	1085	4813
184	1092	4811
185	1099	4811
186	1107	4813
187	1113	4810
188	1120	4809
189	1128	4809
190	1135	4811
191	1143	4810
192	1149	4807
193	1156	4805
194	1163	4803
195	1169	4798
196	1176	4795
197	1183	4792
198	1189	4788
199	1196	4785
200	1203	4782
201	1209	4779
202	1215	4772
203	1221	4764
204	1226	4757
205	1232	4749
206	1237	4742
207	1243	4733
208	1248	4726
209	1254	4720
210	1260	4713
211	1266	4706
212	1271	4697
213	1277	4691
214	1283	4685
215	1289	4679
216	1295	4674
217	1301	4667
218	1307	4661
219	1312	4654
220	1318	4648
221	1324	4641
222	1330	4635
223	1336	4629
224	1341	4622
225	1348	4618
226	1354	4612
227	1360	4606
228	1366	4600
229	1372	4594
230	1378	4589
231	1384	4583
232	1390	4577
233	1396	4571
234	1402	4564
235	1407	4557
236	1413	4550
237	1419	4545
238	1425	4538
239	1431	4533
240	1437	4526
241	1443	4521
242	1449	4515
243	1455	4509
244	1460	4501
245	1467	4496
246	1472	4490
247	1478	4484
248	1484	4478
249	1490	4472
250	1496	4466
251	1502	4458
252	1508	4453
253	1514	4446
254	1520	4442
255	1526	4435
256	1532	4429
257	1537	4422
258	1543	4416
259	1549	4411
260	1555	4404
261	1561	4397
262	1567	4391
263	1572	4384
264	1578	4378
265	1584	4370
266	1589	4364
267	1595	4358
268	1601	4352
269	1607	4346
270	1613	4339
271	1619	4333
272	1624	4326
273	1630	4319
274	1635	4312
275	1641	4305
276	1646	4298
277	1652	4292
278	1658	4285
279	1664	4279
280	1669	4272
281	1674	4264
282	1680	4258
283	1686	4251
284	1692	4245
285	1697	4237
286	1703	4231
287	1708	4223
288	1713	4216
289	1719	4209
290	1725	4203
291	1730	4196
292	1736	4190
293	1742	4183
294	1747	4176
295	1753	4169
296	1758	4162
297	1764	4155
298	1769	4149
299	1775	4142
300	1781	4136
301	1786	4130
302	1792	4123
303	1798	4116
304	1803	4110
305	1809	4103
306	1814	4096
307	1820	4091
308	1826	4085
309	1832	4079
310	1838	4072
311	1843	4066
312	1849	4059
313	1855	4052
314	1860	4046
315	1866	4039
316	1871	4033
317	1877	4027
318	1883	4021
319	1889	4015
320	1895	4008
321	1900	4002
322	1906	3996
323	1912	3989
324	1918	3983
325	1923	3977
326	1929	3970
327	1935	3964
328	1941	3959
329	1947	3953
330	1952	3946
331	1958	3940
332	1964	3934
333	1969	3927
334	1975	3921
335	1981	3915
336	1986	3908
337	1992	3901
338	1998	3896
339	2004	3890
340	2009	3883
341	2015	3877
342	2021	3871
343	2027	3865
344	2032	3858
345	2037	3851
346	2043	3845
347	2049	3840
348	2055	3834
349	2061	3827
350	2066	3821
351	2072	3815
352	2078	3808
353	2084	3803
354	2089	3796
355	2095	3791
356	2101	3785
357	2108	3780
358	2113	3774
359	2119	3768
360	2125	3762
361	2131	3756
362	2137	3751
363	2143	3744
364	2148	3738
365	2154	3732
366	2160	3725
367	2165	3719
368	2171	3712
369	2176	3706
370	2182	3700
371	2188	3694
372	2194	3689
373	2201	3684
374	2208	3680
375	2215	3676
376	2222	3672
377	2229	3668
378	2235	3663
379	2242	3659
380	2249	3654
381	2256	3650
382	2262	3645
383	2269	3641
384	2276	3636
385	2283	3631
386	2290	3627
387	2296	3622
388	2303	3618
389	2310	3613
390	2316	3608
391	2323	3603
392	2330	3599
393	2337	3595
394	2343	3589
395	2350	3584
396	2356	3579
397	2363	3574
398	2370	3570
399	2377	3565
400	2383	3560
401	2390	3555
402	2396	3550
403	2403	3545
404	2410	3541
405	2417	3536
406	2424	3531
407	2430	3526
408	2437	3521
409	2443	3516
410	2449	3510
411	2456	3506
412	2463	3500
413	2469	3495
414	2476	3490
415	2482	3485
416	2489	3481
417	2496	3475
418	2503	3471
419	2510	3466
420	2516	3461
421	2524	3457
422	2531	3453
423	2538	3448
424	2545	3443
425	2551	3438
426	2558	3433
427	2564	3427
428	2570	3421
429	2576	3415
430	2581	3408
431	2587	3402
432	2593	3395
433	2599	3389
434	2605	3383
435	2610	3377
436	2616	3370
437	2622	3364
438	2628	3358
439	2634	3352
440	2639	3346
441	2645	3339
442	2651	3333
443	2657	3327
444	2662	3320
445	2667	3314
446	2673	3307
447	2679	3301
448	2685	3295
449	2690	3288
450	2696	3282
451	2702	3275
452	2708	3270
453	2713	3263
454	2719	3257
455	2725	3251
456	2731	3245
457	2737	3239
458	2742	3232
459	2749	3227
460	2755	3221
461	2761	3215
462	2766	3208
463	2772	3202
464	2778	3196
465	2784	3190
466	2790	3184
467	2795	3178
468	2801	3171
469	2807	3165
470	2812	3159
